question,answer
What is horsepower?,Horsepower is a unit of measurement for engine power indicating how quickly a car can exert force.
What is torque?,Torque is the rotational force produced by a car's engine pulling it forward.
How often should I change oil?,It is generally recommended to change your car's oil every 5000 to 7500 miles.
What is an automatic transmission?,An automatic transmission shifts gears automatically as you drive without requiring a clutch pedal.
What causes a car to overheat?,A car can overheat due to low coolant levels a faulty radiator or a broken water pump.
What is ABS in cars?,ABS stands for Anti-lock Braking System which prevents wheels from locking up during hard braking.
How do electric cars work?,Electric cars use battery packs to store electrical energy that powers an electric motor instead of using gasoline.
What does a catalytic converter do?,A catalytic converter reduces toxic gases and pollutants in exhaust gas from an internal combustion engine.
Are diesel engines more efficient than gas?,Diesel engines are generally more fuel-efficient and provide more torque than gasoline engines.
What is AWD?,AWD stands for All-Wheel Drive a system that powers all four wheels simultaneously for better traction.
